department,total,domestic_use,commercia_use,industrial_use,agricultural_use,pub_and_municipal_authorities,streeet_lighting,geographic_area,region,color
Evros,518528,199360,133417,81535,39722,53889,10605,Northern Greece,Eastern Macedonia and Thraki,#FF0000
Xanthi,438476,143359,103116,122926,39357,21399,8320,Northern Greece,Eastern Macedonia and Thraki,#FF0000
Rodopi,454735,136135,96131,135089,60417,22707,4257,Northern Greece,Eastern Macedonia and Thraki,#FF0000
Drama,358592,143789,99067,44148,53005,9413,9170,Northern Greece,Eastern Macedonia and Thraki,#FF0000
Kavala,638415,221304,176608,160200,44106,23687,12509,Northern Greece,Eastern Macedonia and Thraki,#FF0000
Imathia,548696,208907,140193,112125,59768,12137,15566,Northern Greece,Central Macedonia,#FF0000
Thessaloniki,4808564,1866820,1480420,1147985,89290,158604,65445,Northern Greece,Central Macedonia,#FF0000
Kilkis,408157,107661,80800,158676,46133,10299,4588,Northern Greece,Central Macedonia,#FF0000
Pella,555177,191453,129863,108536,96026,15478,13821,Northern Greece,Central Macedonia,#FF0000
Pieria,525398,191142,159439,101057,41225,20053,12481,Northern Greece,Central Macedonia,#FF0000
Serres,594950,243137,155635,94525,71243,18651,11760,Northern Greece,Central Macedonia,#FF0000
Chalkidiki,644482,210071,236915,95724,52979,33767,15027,Northern Greece,Central Macedonia,#FF0000
Grevena,126254,40134,29986,32774,7719,11887,3755,Northern Greece,Western Macedonia,#FF0000
Kastoria,156276,72280,50166,9519,11037,9108,4166,Northern Greece,Western Macedonia,#FF0000
Kozani,495303,232658,126433,27387,44116,53385,11323,Northern Greece,Western Macedonia,#FF0000
Florina,180895,67484,40278,23976,37488,6250,5418,Northern Greece,Western Macedonia,#FF0000
Thessalia,3823155,1050738,780466,1241624,560892,119179,70256,Northern Greece,Thessalia,#FF0000
Karditsa,415133,158935,93862,32556,104724,10496,14560,Northern Greece,Thessalia,#FF0000
Larissa,1320695,387752,316759,217758,316180,61320,20927,Northern Greece,Thessalia,#FF0000
Magnissia,1616857,319341,235341,931789,76528,34854,19004,Northern Greece,Thessalia,#FF0000
Trikala,470470,184710,134505,59521,63459,12509,15766,Northern Greece,Thessalia,#FF0000
Ipiros,1246599,454254,416188,167882,122484,51628,34162,Central Greece,Ipiros,#00FF00
Arta,286290,122082,63552,26411,49133,13307,11806,Central Greece,Ipiros,#00FF00
Thesprotia,177558,62263,69602,6407,23733,8889,6663,Central Greece,Ipiros,#00FF00
Ioannina,646856,215802,241957,127382,33460,17785,10470,Central Greece,Ipiros,#00FF00
Preveza,135894,54107,41078,7681,16158,11647,5223,Central Greece,Ipiros,#00FF00
Zakynthos,183659,66377,93645,3553,654,9296,10134,Central Greece,Ionian Islands,#00FF00
Kerkyra,451728,182331,227745,10622,1786,18637,10608,Central Greece,Ionian Islands,#00FF00
Kefallinia,180358,70468,64846,19540,2512,18500,4492,Central Greece,Ionian Islands,#00FF00
Lefkada,147538,51924,55659,8457,13037,14862,3599,Central Greece,Ionian Islands,#00FF00
Etolia and Akarnania,664020,296442,160890,50412,93989,45572,16715,Central Greece,Western Greece,#00FF00
Achaia,1327192,522114,384012,285258,49327,55597,30885,Central Greece,Western Greece,#00FF00
Ilia,514779,218187,134794,26737,89923,16183,28956,Central Greece,Western Greece,#00FF00
Central Greece,7206381,895782,621595,5144772,382574,97906,63752,Central Greece,Central Greece,#00FF00
Viotia,3728184,162350,133794,3246107,160638,14238,11057,Central Greece,Central Greece,#00FF00
Evia,1379924,410304,279695,537786,95672,36523,19945,Central Greece,Central Greece,#00FF00
Evritania,44258,21843,15990,634,854,3273,1664,Central Greece,Central Greece,#00FF00
Fthiotida,1926428,246269,161256,1343859,116391,32221,26430,Central Greece,Central Greece,#00FF00
Fokida,127587,55016,30859,16385,9019,11651,4656,Central Greece,Central Greece,#00FF00
Peloponnissos,2677493,1070719,742304,353951,329631,105361,75527,Central Greece,Peloponnissos,#00FF00
Argolida,618049,228143,168514,55355,125200,25604,15233,Central Greece,Peloponnissos,#00FF00
Arkadia,332101,141276,96081,37459,27830,17577,11878,Central Greece,Peloponnissos,#00FF00
Korinthia,805203,301143,195652,198550,62192,26637,21029,Central Greece,Peloponnissos,#00FF00
Lakonia,378185,149334,97348,22502,86111,12550,10339,Central Greece,Peloponnissos,#00FF00
Messinia,543955,250822,184708,40086,28298,22993,17048,Central Greece,Peloponnissos,#00FF00
Attiki ,16226441,7476846,5590835,2141935,73851,718482,224493,Attiki,Attiki,#CACACA
Lesvos,334999,160184,101006,12733,12932,38408,9737,Aegean Islands-Kriti,Islands of Northern Egeo,#0000FF
Samos,157578,72301,62257,3536,1306,14368,3809,Aegean Islands-Kriti,Islands of Northern Egeo,#0000FF
Chios,196359,102013,62649,5496,5692,15306,5204,Aegean Islands-Kriti,Islands of Northern Egeo,#0000FF
Dodekanissos,1099786,340893,640080,21726,8198,61059,27830,Aegean Islands-Kriti,Islands of Southern Egeo,#0000FF
Kyklades,585885,214892,270221,54398,10327,29285,6762,Aegean Islands-Kriti,Islands of Southern Egeo,#0000FF
Kriti,2691527,932433,1134657,193420,174709,208107,48202,Aegean Islands-Kriti,Kriti,#0000FF
Iraklio,1295239,444503,536087,120060,77943,98873,17773,Aegean Islands-Kriti,Kriti,#0000FF
Lassithi,367350,121054,158453,8816,46091,22624,10312,Aegean Islands-Kriti,Kriti,#0000FF
Rethymno,339753,112490,148995,28088,16722,27733,5723,Aegean Islands-Kriti,Kriti,#0000FF
Chania,689186,254386,291121,36456,33952,58877,14393,Aegean Islands-Kriti,Kriti,#0000FF