department,total,domestic_use,commercia_use,industrial_use,agricultural_use,pub_and_municipal_authorities,streeet_lighting
Evros,518528,199360,133417,81535,39722,53889,10605
Xanthi,438476,143359,103116,122926,39357,21399,8320
Rodopi,454735,136135,96131,135089,60417,22707,4257
Drama,358592,143789,99067,44148,53005,9413,9170
Kavala,638415,221304,176608,160200,44106,23687,12509
Imathia,548696,208907,140193,112125,59768,12137,15566
Thessaloniki,4808564,1866820,1480420,1147985,89290,158604,65445
Kilkis,408157,107661,80800,158676,46133,10299,4588
Pella,555177,191453,129863,108536,96026,15478,13821
Pieria,525398,191142,159439,101057,41225,20053,12481
Serres,594950,243137,155635,94525,71243,18651,11760
Chalkidiki,644482,210071,236915,95724,52979,33767,15027
Grevena,126254,40134,29986,32774,7719,11887,3755
Kastoria,156276,72280,50166,9519,11037,9108,4166
Kozani,495303,232658,126433,27387,44116,53385,11323
Florina,180895,67484,40278,23976,37488,6250,5418
Thessalia,3823155,1050738,780466,1241624,560892,119179,70256
Karditsa,415133,158935,93862,32556,104724,10496,14560
Larissa,1320695,387752,316759,217758,316180,61320,20927
Magnissia,1616857,319341,235341,931789,76528,34854,19004
Trikala,470470,184710,134505,59521,63459,12509,15766
Ipiros,1246599,454254,416188,167882,122484,51628,34162
Arta,286290,122082,63552,26411,49133,13307,11806
Thesprotia,177558,62263,69602,6407,23733,8889,6663
Ioannina,646856,215802,241957,127382,33460,17785,10470
Preveza,135894,54107,41078,7681,16158,11647,5223
Zakynthos,183659,66377,93645,3553,654,9296,10134
Kerkyra,451728,182331,227745,10622,1786,18637,10608
Kefallinia,180358,70468,64846,19540,2512,18500,4492
Lefkada,147538,51924,55659,8457,13037,14862,3599
Etolia and Akarnania,664020,296442,160890,50412,93989,45572,16715
Achaia,1327192,522114,384012,285258,49327,55597,30885
Ilia,514779,218187,134794,26737,89923,16183,28956
Central Greece,7206381,895782,621595,5144772,382574,97906,63752
Viotia,3728184,162350,133794,3246107,160638,14238,11057
Evia,1379924,410304,279695,537786,95672,36523,19945
Evritania,44258,21843,15990,634,854,3273,1664
Fthiotida,1926428,246269,161256,1343859,116391,32221,26430
Fokida,127587,55016,30859,16385,9019,11651,4656
Peloponnissos,2677493,1070719,742304,353951,329631,105361,75527
Argolida,618049,228143,168514,55355,125200,25604,15233
Arkadia,332101,141276,96081,37459,27830,17577,11878
Korinthia,805203,301143,195652,198550,62192,26637,21029
Lakonia,378185,149334,97348,22502,86111,12550,10339
Messinia,543955,250822,184708,40086,28298,22993,17048
Attiki ,16226441,7476846,5590835,2141935,73851,718482,224493
Lesvos,334999,160184,101006,12733,12932,38408,9737
Samos,157578,72301,62257,3536,1306,14368,3809
Chios,196359,102013,62649,5496,5692,15306,5204
Dodekanissos,1099786,340893,640080,21726,8198,61059,27830
Kyklades,585885,214892,270221,54398,10327,29285,6762
Kriti,2691527,932433,1134657,193420,174709,208107,48202
Iraklio,1295239,444503,536087,120060,77943,98873,17773
Lassithi,367350,121054,158453,8816,46091,22624,10312
Rethymno,339753,112490,148995,28088,16722,27733,5723
Chania,689186,254386,291121,36456,33952,58877,14393
